"id","date","country","os","experiment_mobile_checkout_theme","transaction_try","transaction_success"
10498295,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10498293,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10498223,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10498217,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10498193,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10498155,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10498127,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10498116,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10498093,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10498072,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10498068,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10498067,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10498051,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10498007,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10497980,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10497975,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10497962,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10497901,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10497900,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10497897,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10497876,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10497858,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10497849,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10497804,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10497769,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10497754,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10497737,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10497736,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10497713,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10497699,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10497690,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10497689,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10497682,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10497674,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10497664,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10497657,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10497649,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10497630,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10497605,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10497572,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10497531,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10497525,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10497515,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10497514,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10497468,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10497419,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10497392,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10497388,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10497371,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10497354,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10497301,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10497296,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10497272,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10497247,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10497204,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10497186,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10497161,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10497159,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10497107,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10497093,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10497056,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10497037,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10497023,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10497021,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10497016,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10497010,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10497002,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10496971,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10496957,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10496912,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10496880,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10496862,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10496860,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10496847,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10496761,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10496747,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10496742,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10496725,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10496678,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10496665,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10496637,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10496634,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10496622,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10496618,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10496534,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10496528,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10496500,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10496498,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10496473,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10496439,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10496401,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10496378,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10496377,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10496368,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10496359,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10496351,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10496300,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10496286,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10496282,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10496277,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10496258,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10496257,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10496225,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10496142,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10496131,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10496086,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10496052,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10496037,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10496026,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10496022,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10496018,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10496015,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495999,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10495989,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10495943,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495908,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495887,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495879,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10495857,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10495847,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495798,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10495797,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495796,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10495795,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495793,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10495792,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495739,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10495719,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495708,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
